run_name,modes_path,checkpoint,method,r_value,seed,n_samples,selection_flag,k_neighbors,radius,label_index,population,cell_count,covered_any_candidate_pct,covered_label_consistent_pct
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.8,17,CD11bmid_Monocyte_cells,1278,0.1564945226917058,0.0782472613458529
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.8,18,CMP_cells,253,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.8,19,Erythroblast_cells,12030,16.79966749792186,15.827098919368247
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.8,20,GMP_cells,73,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.8,21,HSC_cells,261,0.38314176245210724,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.8,22,Immature_B_cells,502,1.1952191235059761,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.8,23,Mature_CD38lo_B_cells,7796,0.08978963571062083,0.07696254489481785
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,0,CD11b-_Monocyte_cells,912,1.0964912280701753,1.0964912280701753
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,1,Mature_CD38mid_B_cells,608,0.4934210526315789,0.3289473684210526
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,2,Mature_CD4+_T_cells,13964,28.129475794901175,27.73560584359782
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,3,Mature_CD8+_T_cells,7821,11.827132080296638,11.775987725354813
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,4,Megakaryocyte_cells,3684,33.469055374592834,31.134636264929426
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,5,MEP_cells,194,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,6,MPP_cells,152,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,7,Myelocyte_cells,3025,12.264462809917354,3.7024793388429753
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,8,Naive_CD4+_T_cells,6987,32.78946615142407,32.274223558036354
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,9,Naive_CD8+_T_cells,9564,21.31953157674613,20.93266415725638
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,10,NK_cells,3864,7.686335403726709,7.686335403726709
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,11,CD11bhi_Monocyte_cells,6779,7.301961941289275,7.301961941289275
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,12,Plasma_cell_cells,468,0.2136752136752137,0.2136752136752137
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,13,Plasmacytoid_DC_cells,293,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,14,Platelet_cells,5,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,15,Pre-B_I_cells,240,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,16,Pre-B_II_cells,994,1.2072434607645874,1.2072434607645874
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,17,CD11bmid_Monocyte_cells,1278,1.1737089201877933,0.39123630672926446
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,18,CMP_cells,253,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,19,Erythroblast_cells,12030,40.257689110556946,39.30174563591022
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,20,GMP_cells,73,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,21,HSC_cells,261,0.38314176245210724,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,22,Immature_B_cells,502,3.5856573705179287,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.0,23,Mature_CD38lo_B_cells,7796,1.1800923550538738,1.1672652642380708
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.5,0,CD11b-_Monocyte_cells,912,28.399122807017545,23.903508771929825
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.5,1,Mature_CD38mid_B_cells,608,14.473684210526317,10.526315789473683
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.5,2,Mature_CD4+_T_cells,13964,84.26668576339158,83.84417072472071
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.5,3,Mature_CD8+_T_cells,7821,71.01393683672164,70.02940800409155
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.5,4,Megakaryocyte_cells,3684,79.37024972855592,75.1628664495114
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,1.5,5,MEP_cells,194,1.0309278350515463,0.0
