method,K,dseed,init_seed,eps,recall,precision,f1,soft_error,n_found,n_hits,n_correct,nfe
b10,2,3,2,2.5,1.0,0.26942567567567566,0.4244843646041251,0.5591652390664135,1184,2,319,2020000
b10,2,3,2,3.0,1.0,0.5380067567567568,0.699615595826469,0.5591652390664135,1184,2,637,2020000
v3f2,2,4,0,1.0,0.5,0.5,0.5,0.9267139721858184,2,1,1,19540
v3f2,2,4,0,1.5,1.0,1.0,1.0,0.9267139721858184,2,2,2,19540
v3f2,2,4,0,2.0,1.0,1.0,1.0,0.9267139721858184,2,2,2,19540
v3f2,2,4,0,2.5,1.0,1.0,1.0,0.9267139721858184,2,2,2,19540
v3f2,2,4,0,3.0,1.0,1.0,1.0,0.9267139721858184,2,2,2,19540
b0,2,4,0,1.0,0.5,0.0005037783375314861,0.0010065425264217413,1.3675600562514199,1985,1,1,2000000
b0,2,4,0,1.5,0.5,0.00654911838790932,0.012928891098955744,1.3675600562514199,1985,1,13,2000000
b0,2,4,0,2.0,1.0,0.044836272040302265,0.085824493731919,1.3675600562514199,1985,2,89,2000000
b0,2,4,0,2.5,1.0,0.19395465994962216,0.32489451476793246,1.3675600562514199,1985,2,385,2000000
b0,2,4,0,3.0,1.0,0.4503778337531486,0.6210489753386593,1.3675600562514199,1985,2,894,2000000
b10,2,4,0,1.0,0.5,0.0032397408207343412,0.0064377682403433485,0.9048183674025739,1852,1,6,2020000
b10,2,4,0,1.5,1.0,0.04535637149028078,0.08677685950413225,0.9048183674025739,1852,2,84,2020000
b10,2,4,0,2.0,1.0,0.27429805615550756,0.4305084745762712,0.9048183674025739,1852,2,508,2020000
b10,2,4,0,2.5,1.0,0.6306695464362851,0.7735099337748345,0.9048183674025739,1852,2,1168,2020000
b10,2,4,0,3.0,1.0,0.8623110151187905,0.9260655262394897,0.9048183674025739,1852,2,1597,2020000
v3f2,2,4,1,1.0,0.5,0.5,0.5,0.9272342779731677,2,1,1,19700
v3f2,2,4,1,1.5,1.0,1.0,1.0,0.9272342779731677,2,2,2,19700
v3f2,2,4,1,2.0,1.0,1.0,1.0,0.9272342779731677,2,2,2,19700
v3f2,2,4,1,2.5,1.0,1.0,1.0,0.9272342779731677,2,2,2,19700
v3f2,2,4,1,3.0,1.0,1.0,1.0,0.9272342779731677,2,2,2,19700
b0,2,4,1,1.0,0.5,0.0005037783375314861,0.0010065425264217413,1.267444571097608,1985,1,1,2000000
b0,2,4,1,1.5,0.5,0.005037783375314861,0.009975062344139649,1.267444571097608,1985,1,10,2000000
b0,2,4,1,2.0,1.0,0.04987405541561713,0.09500959692898273,1.267444571097608,1985,2,99,2000000
b0,2,4,1,2.5,1.0,0.20503778337531486,0.34030100334448166,1.267444571097608,1985,2,407,2000000
b0,2,4,1,3.0,1.0,0.4720403022670025,0.6413415468856947,1.267444571097608,1985,2,937,2000000
b10,2,4,1,1.0,0.5,0.001607717041800643,0.003205128205128205,0.9812224794426554,1866,1,3,2020000
b10,2,4,1,1.5,1.0,0.04287245444801715,0.08221993833504625,0.9812224794426554,1866,2,80,2020000
b10,2,4,1,2.0,1.0,0.2497320471596999,0.3996569468267581,0.9812224794426554,1866,2,466,2020000
b10,2,4,1,2.5,1.0,0.6232583065380493,0.7679102013865962,0.9812224794426554,1866,2,1163,2020000
b10,2,4,1,3.0,1.0,0.8670953912111469,0.9288174512055108,0.9812224794426554,1866,2,1618,2020000
v3f2,2,4,2,1.0,0.5,0.5,0.5,0.9286603482639353,2,1,1,19970
v3f2,2,4,2,1.5,1.0,1.0,1.0,0.9286603482639353,2,2,2,19970
v3f2,2,4,2,2.0,1.0,1.0,1.0,0.9286603482639353,2,2,2,19970
v3f2,2,4,2,2.5,1.0,1.0,1.0,0.9286603482639353,2,2,2,19970
v3f2,2,4,2,3.0,1.0,1.0,1.0,0.9286603482639353,2,2,2,19970
b0,2,4,2,1.0,0.0,0.0,0.0,1.2156181516443851,1989,0,0,2000000
b0,2,4,2,1.5,1.0,0.006033182503770739,0.011994002998500751,1.2156181516443851,1989,2,12,2000000
b0,2,4,2,2.0,1.0,0.04776269482151835,0.0911708253358925,1.2156181516443851,1989,2,95,2000000
b0,2,4,2,2.5,1.0,0.1910507792860734,0.3208104685521317,1.2156181516443851,1989,2,380,2000000
b0,2,4,2,3.0,1.0,0.4424333836098542,0.6134541652143604,1.2156181516443851,1989,2,880,2000000
b10,2,4,2,1.0,0.5,0.0026867275658248252,0.005344735435595938,0.9584954716540288,1861,1,5,2020000
b10,2,4,2,1.5,1.0,0.04567436861902203,0.08735868448098665,0.9584954716540288,1861,2,85,2020000
b10,2,4,2,2.0,1.0,0.2681354110693176,0.4228813559322034,0.9584954716540288,1861,2,499,2020000
b10,2,4,2,2.5,1.0,0.6238581407845244,0.7683653209794838,0.9584954716540288,1861,2,1161,2020000
b10,2,4,2,3.0,1.0,0.8640515851692638,0.9270683194004036,0.9584954716540288,1861,2,1608,2020000
v3f2,3,0,0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.2990778495315567,3,1,1,18310
v3f2,3,0,0,1.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.2990778495315567,3,2,2,18310
v3f2,3,0,0,2.0,1.0,1.0,1.0,1.2990778495315567,3,3,3,18310
v3f2,3,0,0,2.5,1.0,1.0,1.0,1.2990778495315567,3,3,3,18310
