group,label_index,k_neighbors,n_reference_cells,mean,median,q90,q95,q99,selected_quantile,selected_threshold
CMP_cells,18.0,200,253,1.9590192938268722,1.9282307520155697,2.281290966962254,2.36096588920385,2.6910859213428204,0.95,2.36096588920385
Erythroblast_cells,19.0,25,2000,0.8668924018180698,0.8307151408867139,1.2175952952262965,1.3582806528466989,1.6597105056661177,0.95,1.3582806528466989
Erythroblast_cells,19.0,50,2000,0.9329464390952572,0.8934017221431574,1.2981583064751325,1.4450619765991308,1.7430886738794014,0.95,1.4450619765991308
Erythroblast_cells,19.0,100,2000,1.006993855676283,0.9679038720885884,1.3873377005407317,1.5353868175528573,1.8592960420389284,0.95,1.5353868175528573
Erythroblast_cells,19.0,200,2000,1.0902090618452662,1.0502069261212952,1.492514430361118,1.6448362557760208,1.977349659015785,0.95,1.6448362557760208
GMP_cells,20.0,25,73,1.631622073687678,1.6268212572020855,1.9806446080846458,2.1053582172515144,2.436385910229116,0.95,2.1053582172515144
GMP_cells,20.0,50,73,1.7530734477898993,1.731779600037614,2.0941298916651014,2.2189484453529635,2.565742397562246,0.95,2.2189484453529635
GMP_cells,20.0,100,73,1.887620878511942,1.8628569381444695,2.226651704463369,2.349857247051394,2.715145187405403,0.95,2.349857247051394
GMP_cells,20.0,200,73,2.0401255974058374,2.029564624278948,2.386077643484023,2.508521918569717,2.897599363807818,0.95,2.508521918569717
HSC_cells,21.0,25,261,1.6089271930705875,1.5438285207283096,2.0317364539922043,2.1985400124621797,2.491862251941054,0.95,2.1985400124621797
HSC_cells,21.0,50,261,1.7268129951666131,1.6526743708197753,2.1748038558950133,2.373970230177659,2.6717243813436817,0.95,2.373970230177659
HSC_cells,21.0,100,261,1.8572904046099146,1.7679940388807704,2.3326669715735044,2.5341789902761875,2.8564395057901284,0.95,2.5341789902761875
HSC_cells,21.0,200,261,2.0028770426470426,1.9145550552957418,2.50387435119473,2.7281795010276984,3.082576689421884,0.95,2.7281795010276984
Immature_B_cells,22.0,25,502,1.5220015217674359,1.4956189069395862,1.9397663165362062,2.109998391177501,2.4191248331433854,0.95,2.109998391177501
Immature_B_cells,22.0,50,502,1.6330657263986803,1.6113188617167893,2.04630589504359,2.233064220043409,2.544341676533171,0.95,2.233064220043409
Immature_B_cells,22.0,100,502,1.7560423051649696,1.730455991650032,2.189770317802173,2.3693141960556265,2.692436519073832,0.95,2.3693141960556265
Immature_B_cells,22.0,200,502,1.8910654499768873,1.8747399340851452,2.3307183311802713,2.509239581239225,2.867651273911012,0.95,2.509239581239225
Mature_CD38lo_B_cells,23.0,25,2000,1.3266391264333284,1.2942832011589194,1.632101704181136,1.7487950516962736,1.9687826500920336,0.95,1.7487950516962736
Mature_CD38lo_B_cells,23.0,50,2000,1.4244122293934498,1.3884287299358984,1.7425164628980474,1.85840726956626,2.0950130212403746,0.95,1.85840726956626
Mature_CD38lo_B_cells,23.0,100,2000,1.5344398159715547,1.4981895442506161,1.8701408858584223,1.9853370712299332,2.2489848931229544,0.95,1.9853370712299332
Mature_CD38lo_B_cells,23.0,200,2000,1.6592580164718598,1.6220611225578132,2.0096174129349653,2.1304760216044705,2.3880671788836794,0.95,2.1304760216044705
